disease,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,obesity,n,n,n,n,n,n,n,n,n,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,n,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,n,obesity,n,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,n,obesity,obesity,obesity,n,n,n,obesity,n,n,obesity,n,obesity,n,n,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,n,n,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,n,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI,,,0.267,,,,,,,,0.4367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,,,,,,,,,,,,0.745,0.617,,,,,0.687,,,,,,,,,,0.991,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,,,,0.125,,0.1688
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,0.466,0.44,,0.152,,,0.216,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,0.1287,,0.148,,,0.42,,,,,,,,,0.2559,,,,,,,,,,,,,,,0.26,,0.382,0.21,,,0.52,,0.647,,,0.491,,,,,,,,,,,0.94,,,0.126,,,,,,,,,0.17,,0.22,,,,0.92,,,,,,,,,,0.348,,,,,,,,,0.37,,,,,,,,0.225,,0.475,,0.54,0.54,0.363,0.512,,,,0.136,0.1284,0.1925,0.4356,0.1168,0.6671,,,0.1272,,0.9,0.237,,,0.66,0.1137,,,,,,,0.13,0.11131,,,,,0.75,,,,0.16,,,,0.872,,,,0.353,0.13,,0.15,,,0.67,,,0.196,,0.1172,,,0.975,,,,,,,0.67,,,0.34,,,,0.112,,0.11,0.447,,0.4,,,0.285,,0.276,,0.32,0.771,,0.12,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.1425,,,0.991,,,0.1679,0.754,,,0.4582,,,,,,,,0.426,,,0.935,,,0.26,,,,,,,,,0.553,,,,,0.855,,0.638,,,0.35,,,,0.19,,0.2417,,,,,,0.67,,,,,,,0.1642,0.49,0.569,,0.114,,,0.21,,,,,,0.462,,,,,,,0.5521,,,0.46,,,,,0.69,,0.3785,,,,0.221,,0.1254,,,0.9898,,,0.25,,,,,,,,0.4735,0.357,0.1411,0.18,,,0.72,,,0.195,,,0.82,,0.29,0.439,,,0.1148,,,,,,,,,0.676,0.6239,,,,,,,0.129,,0.179,,,0.622,0.89,,0.232,0.125,0.1244,0.49,0.52,,0.1564,,0.72,0.781,,,,0.1128,0.1778,0.1221,0.37225,0.6442,0.15832,,,0.148,,0.892,,,0.367,0.142,0.5712,0.165,,,,,,0.1334,0.25648,0.4492,0.1916,,,0.421,0.24,,,0.367,,,,,,0.28,,0.2926,,,,,,3.00E-01,,0.22913,0.1511,,0.1269,,,0.227,0.143,,,,0.153,,0.185,,,0.126,,,0.61,0.456,,,0.45,0.71,0.497,,0.533,0.2989,,0.469,0.25,,0.6546,,0.544,0.189
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,,,,,0.642,,0.475,,,0.1348,,,,,,,0.3142,,0.21,,,0.566,,0.935,0.1886,,,,,,,,,,,,0.1143,,,,,,,0.3494,,0.36,,0.856,,,,,,,,0.143,0.874,,0.322,,,0.42224,,0.1742,0.627,,0.1491,,,,,,,0.38,,0.5518,,,,,,,,,,,,,,,,,0.288,,,,,,0.157,,,0.4521,,,,,,,,,,,0.8758,,0.2372,,,0.25,0.124,,0.34,,,,,,0.116,0.2114,,,,,,,,,,,,0.643,0.288,0.634,,0.195,,,,0.29,,,,,0.555,0.79,0.1663,0.522,,,0.845,0.144,,0.278,,0.2641,0.4114,,,,,0.337,0.6915,0.2841,0.1746,0.3352,,,0.2639,0.314,0.3735,,,0.156,,0.77,,,,,0.53,,0.1997,0.148,0.949,0.592,0.1257,0.76,0.484,0.12,,,0.282,0.16,0.639,,0.5653,,0.197,0.4,0.347,,,0.21,,,,,0.2711,,,0.12727,,,0.1778,0.77,,,,,,,0.4528,,,,,0.353,0.1264,,,,0.161,0.3415,,0.924,0.1968,0.1868,0.779,,0.1,0.137,0.151,,0.1136
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,0.625,0.619,0.3185,0.497,0.278,0.139,0.354,0.523,0.2921,,0.148,0.149,0.4618,0.136,0.866,0.346,0.481,0.556,0.319,0.734,0.834,0.659,0.338,0.192,0.523,0.38,0.95,0.895,0.1127,,,0.1318,0.1232,0.148,0.144,0.158,0.573,0.361,0.29,,,0.3936,0.526,0.622,0.36,0.196,0.366,0.18,0.26,,0.634,,0.19,,,,,0.16,0.3269,0.631,0.299,0.115,,,,0.251,,,0.66,0.92,0.2994,,,,0.1319,,,,,,0.6,,0.152,,,0.336,0.186,0.117,0.1873,0.1768,0.24,0.881,,0.11,,0.218,0.6,0.281,,,0.113,,0.4499,,,0.183,,0.265,0.827,,0.2191,0.95,0.56,,,,,0.1491,0.114,0.1212,,,0.986,0.641,,,0.125,0.275,,,,,0.88,0.4,0.377,,0.2174,0.127,,,,,0.2389,,0.232,0.233,,,0.45,,0.23819,0.324,,,0.134,0.81,0.157,0.69,0.5558,0.265,0.577,0.38,0.97,,,0.139,0.77,0.1935,,0.72,,,,,0.1354,0.394,,0.18,,0.39,0.975,0.92,0.626,0.242,0.4,0.1911,,0.2336,0.166,0.689,,,,,,,,0.4867,0.212,0.66,,,,0.327,0.3,0.2361,,0.1873,,,0.39,0.15,,0.8758,0.172,0.859,,,0.335,,,0.386,,,0.25,,0.456,0.1943,,0.129,,0.519,0.158,0.128,,0.733,0.3516,0.871,,,0.492,,0.82,0.327,,,0.79,,0.43,,0.365,,0.34
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2226,,,,,,,,,,,,,,,,,,,,,,0.1847,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,,0.2647,,,,,,,,,,,,,,,,,0.146,,,0.634,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_barnesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65835,,,,,,,,21.57954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,0.19767,,,0.7325,,,,,,,,,,,,,,,,,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,,0.13866,2.2915,,0.6272,,,,2.73614,9.86153,4.1162,,0.21623,0.52194,0.1842,0.4156,0.9958,,,2.6167,0.472,1.76186,0.7278,0.35397,,2.2161,0.2177,1.34894,0.59355,2.74826,0.7871,,0.4267,,0.586,0.11539,0.44549,2.98238,6.7513,9.29959,1.37999,0.12821,,2.158,2.19468,0.6117,0.99657,0.21,0.92812,,1.4994,2.11752,0.64373,0.2291,,2.52459,2.15152,0.43451,,0.179,1.457,0.347,12.8843,0.1548,0.653,0.8286,,2.4799,1.47259,0.14348,0.1137,0.9786,0.77144,1.65659,0.24288,0.34,4.134,0.7147,0.7186,1.4751,1.28927,0.374,,0.75748,0.36984,,0.364,0.43,1.49623,0.1551,,1.1425,3.6368,2.69,0.5599,1.4884,1.41239,0.68932,2.98885,1.81583,,,0.16353,,2.19827,1.688,0.111,0.312,0.18133,1.53896,0.6657,,4.1625,,3.11953,0.9299,0.1873,1.9283,2.35289,,,,0.24117,8.16913,3.868,0.56619,0.17876,1.5576,,0.98917,,4.6226,0.68389,,1.14913,4.91888,0.31861,1.3471,,1.36377,,,0.16,4.65381,0.691,3.16272,3.15851,,0.58554,0.1881,,1.126,,,1.56,0.43123,0.116,,0.16622,1.4674,,0.88744,0.81845,6.82471,0.327,0.2636,0.42144,0.89998,,,,,,,0.5771,0.62119,,0.7225,,0.85733,0.945,0.4736,1.383,3.98449,,,,0.413,0.5297,0.43211,0.96418,,,,0.5297,0.4269,0.87214,0.18791,1.128,0.4718,,0.94893,0.9162,0.7337,1.13739,0.7282,0.62755,0.26762,,0.865,0.18,0.8319,0.416,1.5482,0.7582,0.6788,2.6261,,0.952,0.97756,0.8743,4.8217,0.31266,0.87363,0.6681,1.55972,0.24334,,1.91912,1.89914,0.2116,0.16212,0.17622,0.32398,0.3789,,0.692,0.32342,2.24738,0.718,0.75,,0.42679,0.4818,1.99451,0.78241,0.32621,,1.3717,0.84,0.37151,1.76496,4.47296
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,2.4588,,6.51139,12.6393,,3.53231,0.65389,19.18656,1.1733,,11.23575,0.1455,0.3927,,3.69343,0.724,5.88623,6.74659,,0.29,,,5.7227,0.41965,0.6968,,,0.2559,5.65495,,0.83,0.283,,8.12949,0.514,,0.252,1.1678,0.532,,3.3225,,0.36992,0.161,2.14656,,0.42421,,0.97,0.74188,0.36,1.35158,0.393,,,7.7469,,1.52375,,0.77,3.37357,0.4527,,,1.78899,,4.12346,,2.568,0.9487,,5.6495,0.55643,,,0.182,,0.6918,,1.1723,0.167,,0.54917,,3.52844,,0.4129,1.6315,0.9665,0.676,,0.371,0.3113,,0.5285,,1.34913,0.9693,5.1327,,,1.63458,,,,2.3418,2.8234,,,,,0.5424,1.22798,,0.1972,,,0.5236,,,,,0.6567,1.21637,,,,,1.4317,,,,0.9329,1.9792,4.8399,6.41988,,,3.693,7.8473,,,0.29,3.43766,0.7137,0.196,,33.3644,,1.68791,,1.11553,,0.28116,1.29785,0.1319,3.86754,,,,0.3457,4.3965,0.4795,,,0.1556,,0.8374,,,,0.2491,,9.29143,0.1681,0.8867,,,1.731,0.7367,0.1331,0.247,0.21215,0.148,,0.142,,,,0.4357,,,,,,,1.16348,0.5174,0.233,0.537,0.1669,3.5333,0.31611,0.148,0.195,0.66,4.86631,1.9624,0.225,,2.9552,0.2578,0.481,0.1325,0.3723,0.7792,,0.5661,0.2948,0.1414,,6.63246,,,0.542,0.1987,0.41443,,0.2192,,0.78545,0.2721,,0.8259,0.12459,0.93875,0.6857,0.7557,0.3876,,,0.9,,1.5498,,0.31298,4.1698,,0.293,,0.3537,6.556,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,,0.181,0.5154,,,5.78225,,,,,,,,0.15837,,0.11133,,,,0.8695,0.59444,,,,,,,0.1161,,,,0.434,,,,0.1147,,1.865,,,,0.16313,0.648,,,,0.81752,0.8396,0.42723,,0.27493,,,,,,0.281,,,0.679,,,,,0.32778,,,0.212,0.42159,,,,0.66253,,0.27,,,0.26912,,,0.22641,,,,0.25,0.349,0.284,0.239,,,,,2.2328,,,,0.5393,,,0.1547,0.161,,,,,0.28394,,0.196,,,,,,0.35264,0.94868,,,0.2957,0.8262,,0.26569,,,,,,,,,0.1862,,,0.38618,,0.43635,,0.1112,,,,,,0.3966,,0.35,,,,,,,,,,,,,0.242,,0.82665,0.54,0.117,1.61533,5.27773,0.251,,,,,,,0.2447,,8.28716,0.33,,,0.16587,,0.39,0.281,,0.5519,0.585,,0.987,,0.34494,,,0.6575,,,,,,0.7388,0.487,,,,,0.621,,0.69,,,,,,,,,1.6512,0.1794,0.11,0.147,,0.817,,0.115,,0.12,,,0.9746,,,0.158,,0.44,0.3335,,,,,,0.2675,,,0.2512,,0.2949,0.37,,1.71521,1.2197,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,1.18371,,,,,,,,0.151,,,,,,,,,,,,,,,,,,1.8828,,,,,,,,0.36,,,,,,,0.9793,,,,,2.14783,,1.62116,,,,,,,,,,,0.36971,,,,,,,,,,,,,,,,,,,15.6725,8.48818,0.77212,0.8279,0.196,,,,,,,0.95563,,,,,,0.23633,15.97733,0.9426,,,,,0.5119,,,,,0.216,0.1663,,,0.1797,,,,,0.7218,0.9364,,0.3929,,,0.67692,,,,,,,,,5.81695,,,0.51,,,,,,,,,0.5868,0.26442,2.91918,,,,,,,,0.2268,,0.53,7.25337,,,,0.5644,,,,,,,0.1147,,,,,,,1.36436,,,0.22258,,,0.27636,,0.42544,1.21646,,0.647,,,,0.5211,,,,,,2.4565,,0.9581,,,,,,0.9358,,,,0.23338,,,,0.2197,3.49976,,0.5259,,0.12716,,2.5615,,,,,,,,0.18541,,,,0.68623,0.114,,,4.59,0.27,,,0.47222,,,,1.39291,0.658,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus,,,3.4115,,2.17387,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,6.777,,,,,,,,,,,,,,,,,,,,,,,0.41229,,,,,2.83322,,,,,,4.66279,,7.98466,,,0.678,,,,,,,2.8547,9.466,,,,,,,,,,,,,9.35462,,,,,,,,,,,0.3638,,,,,2.31848,0.11196,,,3.73532,,,,,2.41195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84464,,,,,,0.768,,,,,,,0.214,,,,0.29,4.6666,1.9381,,,,,,,,,,,,,,,,0.15,,,,1.665,8.44279,,,,,,0.365,,,,,4.87416,,,0.934,,,7.7882,0.57,,,,,4.13486,,4.3364,1.8626,0.295,0.397,,0.8682,,,,,,,2.8669,0.54512,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,1.21322,1.71468,,4.6583,0.22243,0.575,27.49256,,4.21885,,0.4589,0.1345,0.397,0.9749,0.12758,0.1197,2.14984,3.53927,,0.48251,0.82778,3.36153,3.25654,0.65883,1.26879,1.72323,0.67824,0.3482,0.4854,,4.42817,0.23618,0.4691,,0.33438,0.95581,1.9453,0.81322,0.259,26.42727,1.59833,0.43522,0.3397,0.13669,6.2944,0.17169,1.57641,3.45472,4.6825,,0.2172,3.31316,8.4998,0.1357,,0.1,0.89979,0.24913,2.14293,0.61894,0.75387,0.9971,14.99736,0.6173,2.52941,0.84893,0.5191,,4.37726,0.38525,0.12438,0.3168,0.3347,0.58814,1.14446,,0.6672,1.28948,0.58491,2.31662,0.3781,0.7799,14.17657,4.99795,2.87474,0.32158,1.77485,2.43298,0.41937,0.6383,1.58322,0.2476,,8.24958,14.868,1.42626,0.37385,0.4579,1.66389,9.4385,0.2188,2.24151,0.86,5.57198,0.319,0.837,2.68278,0.26562,0.4942,1.77169,0.76959,0.73,0.33823,4.55743,0.3323,,0.4233,0.373,5.69537,0.79181,5.16944,6.596,0.14464,,0.423,5.41372,1.87534,2.13252,0.714,1.532,12.96815,1.57582,0.12356,4.6769,1.84695,,1.5927,1.27268,0.56352,6.6784,,,3.78728,,0.7627,0.33212,1.36575,,2.96553,0.6364,0.125,0.25355,1.9829,3.25256,0.4555,0.2627,0.32337,1.66696,0.1786,1.26936,1.7758,0.1168,1.47297,0.16144,15.77983,2.33483,0.859,0.37217,17.79525,,12.3661,,35.2341,0.21,0.13648,0.8769,5.82441,0.975,,0.89254,0.457,,0.91297,2.8355,7.52588,0.7683,0.229,0.7218,,0.1658,0.4568,1.39597,,0.86,0.152,0.36395,3.1216,0.15314,0.316,0.4153,0.54,0.58853,1.18865,0.51335,4.5958,0.83,3.61293,0.23648,0.79498,1.12617,0.46296,0.1247,0.1141,0.2656,0.6661,0.5376,0.193,,0.21639,0.17551,0.1642,1.19465,0.6,0.693,0.72368,0.33182,0.1498,0.424,0.4482,0.11341,3.4655,0.3762,5.54153,,0.8739,0.1974,0.44762,0.62176,0.75753,22.23489,1.54382,0.4899,0.487,0.49591,2.4175,5.99839,0.147,0.5246,0.3153,0.19,0.33652,2.58249,1.81966
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,,1.85781,,,3.17122,0.13,,,,,,0.6972,,,,0.581,,,,0.113,0.213,,,0.5382,,,0.1466,0.73541,,,,0.8977,0.627,,0.49717,0.637,,,,,,,,2.4182,,,4.89951,0.4,0.92993,,6.83758,9.814,0.183,0.228,1.1475,,15.6536,,,,,,,,,,,1.584,,0.655,,,,,0.55211,,,,0.8661,2.37347,,,,,,,,,0.3958,,,0.32373,,,,,,,4.15717,,,,0.28757,,,,,0.51279,,0.92,,0.33971,0.3192,,4.9522,,0.579,0.919,,1.21447,7.4563,,,,,,,,,,,,0.8563,,,,,,,,,,0.566,,0.1196,,,,0.7547,0.57,,,0.357,,,,,,,0.452,7.49738,,6.1681,1.43839,,0.1354,,,14.1914,,,,,,,,,,,0.14,0.1626,,1.1722,0.891,,0.6732,0.461,0.2213,,0.15547,,,,,,0.14688,,0.4427,0.12781,0.123,,,0.63599,0.638,0.38617,0.167,,1.9896,,,0.29,,,,0.56245,1.13412,,,0.169,,1.6683,,1.74922,41.7225,,1.354,,,,,1.494,0.546,,,0.355,5.15222,,0.8848,9.15259,0.8,0.977,,0.1196,1.516,,,0.1,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,,,,,,0.922,,,0.842,0.31148,0.65,0.139,0.13869,0.876,,0.6479,,0.9,,0.667,0.643,0.64953,,0.34,,,0.342,,0.192,,0.313,,0.5887,,0.69,,,,,,,0.284,0.114,,,0.54868,1.28767,,0.294,,,,,,0.479,,0.94,0.52,,0.1625,0.145,,,,,0.74271,,,2.6496,0.4111,,2.31332,0.8612,,,,2.7699,,0.26295,0.135,,0.64212,,,1.1549,,0.64257,,0.1522,0.432,,0.9876,2.39325,0.179,,0.1266,0.164,0.156,,3.1362,,,0.75,,,0.2363,0.4218,,0.846,0.324,0.16966,0.1456,0.8228,,,0.222,0.151,,0.1413,,0.1475,,0.252,0.3,,2.1442,,1.2866,0.858,,,,,,0.173,,,,,7.24731,,,0.212,4.12837,0.12258,1.1517,0.118,,0.33493,0.28,0.2595,0.25466,,,1.1818,0.179,,,0.13,0.8672,0.4523,0.17,,,,,0.2922,0.5421,2.2346,,0.23,,,,0.15,,,0.1586,,0.7591,0.42,,0.75,0.13,,,,0.92,,0.2382,0.11,2.47821,,,,,0.24233,0.168,0.5449,0.53,,,1.78298,0.124,,0.558,0.275,0.117,,,,0.43125,0.377,,0.217,0.9818,0.13,0.5619,,,0.6719,0.45,0.257,0.99492,,0.65496,0.19,,,0.92,,0.139,,1.77936,0.2183,,,0.4533,0.182,,0.52,2.59623,0.74,,0.2788,0.271,0.1851,,0.35,0.68,0.46198,,0.388
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,,,,,0.5388,,0.18,,0.2192,,0.34151,0.2391,,,0.561,0.11765,,,17.36153,1.23626,1.93783,,,0.765,0.69,0.149,1.48151,,,,,0.58852,0.1396,,,,0.115,,,0.257,,,,,0.137,,,0.9262,0.2794,,,,,0.6173,0.987,,,,,1.1383,0.27,,,2.5887,,0.23589,,,,,,,,,,,,,,2.1389,,1.573,,,,,0.9885,,,0.28725,,0.4576,,,,0.64135,,,,,,,0.34,,,,,,,,0.46735,,,,0.317,,0.159,0.985,,0.78414,,,0.3442,,,,,,,1.521,,,0.32597,,,,,,,0.16895,,4.5311,,,0.11481,0.2639,,,0.66685,,,,,0.23381,,,,2.39781,0.754,0.417,0.38299,,2.36715,,,,,,,,0.49,,,,0.1289,,0.25,0.43362,,,0.7582,0.526,,,,0.5734,,,,0.37672,0.16,,,,,,,0.3149,0.1393,,,,0.17345,0.598,0.1,0.3419,1.24612,,0.38,,0.8756,,0.4675,0.41418,0.13,1.683,0.1164,,0.2625,,,,,,0.13349,,,,,1.45424,0.31931,,0.2288,,,0.87589,,,,0.44,1.59394,,0.142,,,,,,,,,1.32531,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,1.3489,,0.2323,,,,1.92615,,0.58261,,0.26389,,,,0.58837,,,0.76587,0.3975,0.2137,0.8358,0.68317,,,,,,0.2276,0.11228,1.26158,0.64719,,,2.93363,,0.2835,0.267,0.1694,,1.55175,0.56481,0.288,,0.7796,0.13355,,,0.25432,,,0.2687,0.77583,1.49535,,0.46137,1.55575,0.4352,0.16432,0.1282,0.1433,2.6161,0.7928,,0.4242,,,1.24397,,,,,0.1631,1.1767,0.46296,0.1175,6.976,1.94853,0.33846,,0.9499,,0.1895,,,0.58,0.62846,,1.37567,0.25,,1.56752,,,,2.438,0.15733,0.49565,,1.446,,,,1.3522,3.9617,0.45681,1.76821,1.28135,,,,,,0.96739,1.8488,,,,,0.52695,2.13153,,2.15758,,0.2125,0.79252,2.5563,0.1635,0.39196,0.43812,0.82555,0.64716,0.24711,0.368,0.237,0.45457,1.3969,,,0.459,,,,0.1877,0.855,,,2.3927,3.3325,0.37552,0.25539,0.26599,,4.12525,1.65795,,,0.2166,1.437,,0.548,0.8152,1.26156,0.29545,0.728,3.41192,,,,1.6458,,0.79182,,,,,,,,3.17849,0.731,0.176,3.87319,,,,,0.3979,,,,0.1324,,,2.413,0.743,0.292,0.416,,,,9.644,0.2574,,,,0.181,0.24,,0.886,1.9998,,,,0.28822,0.23,0.561,,,,1.23519,,,,1.9725,0.559,0.284,,0.12448,2.22196,0.216,,,,,,0.24959,0.4328,,,,0.62715,1.2992,0.544,0.1278,,0.72269,1.44326,0.71242,0.228,2.71269,0.7283,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,2.36175,,0.6612,0.43459,,0.3,,,,,,,0.4313,,0.28123,,0.275,,3.41433,8.746,1.434,5.8876,,,,,,,,,2.82877,,,,0.132,,11.724,0.185,,,0.316,0.1715,,0.42463,0.58,0.36,,,0.479,4.53826,,,,0.69,,0.389,,0.58,,,,1.7919,,,0.3885,,0.43,0.12688,,0.1225,,,,,,0.27288,,,,0.4,,,,,,,2.3156,,,,0.9563,,,,1.481,1.54954,,,,,,,0.3397,,,,,,,1.93445,0.54749,,0.2787,,0.1357,,1.59565,,1.2343,0.1423,,,,,,,,,,,,,0.36621,,,,,6.28666,,,,0.9161,0.844,6.31924,,,,,,,,0.15887,,,,,0.471,,0.14285,,,,,,,,,,,,5.7353,,,,,,,0.99398,,,,,,,,,,,,0.167,0.47822,,,,0.11628,,,,0.48,,0.51,,0.3471,0.1959,,,0.156,,,,0.8885,,0.23,,,,,,,,,,0.78462,,,,,,,,,0.167,,,0.639,,0.2183,0.97,,,,,,,,0.127,,,,,,0.254,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,,,,,,0.2537,0.119,,0.461,,3.8251,0.494,,0.38,3.63318,0.56625,3.24622,0.776,0.42,0.184,16.75126,0.84,0.18,3.43143,5.42282,0.452,0.5572,1.12991,0.125,,,,,,0.27,0.225,7.133,0.277,,0.417,,0.88,3.54951,,17.67973,0.25,1.3856,0.1718,14.71676,,0.195,,0.291,0.1622,,0.273,0.54,0.17,0.397,1.5917,0.15,0.132,,6.694,0.466,,,,8.36131,,,,0.31,,1.54628,,,,,,1.37228,2.18895,0.59,1.1132,2.8153,,1.24931,0.28,1.16446,,,,0.288,0.25,,,,0.32911,,3.82763,0.1128,,,,,,,,,0.5361,,,,0.64,,,,0.2676,,1.34765,,0.139,0.8658,,,,,,,0.42,,,3.38964,0.356,0.134,,1.92133,4.11562,1.59778,11.677,0.16,17.56444,0.73,0.1,,,,,1.3554,,,4.63994,,,4.23137,0.3833,0.2,,0.642,1.6676,,,0.82,0.114,,0.7957,,,,,,,,,0.8894,2.1221,4.96434,1.38618,,3.18563,0.138,,1.74285,0.15258,,,,,0.45,0.81662,,,,,,,6.92272,0.88987,5.373,1.23,,3.91848,0.4943,1.17173,,,7.84842,2.4159,0.62,0.15,,,1.43527,,0.52414,0.53513,,0.359,,,5.9499,,8.13792,,,,,,,0.5686,0.291,0.99325,1.2996,2.53435,2.53643,0.173,,0.11761,3.93958,0.67,0.666,,,0.24871,0.15,,,,,0.324,1.33434,,0.35
