disease,n,n,n,cancer,n,cancer,n,n,n,n,n,cancer,n,n,cancer,cancer,n,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,cancer,n,n,n,n,n,n,n,n,cancer,cancer,n,cancer,n,n,n,cancer,cancer,cancer,cancer,n,n,n,n,n,n,cancer,cancer,cancer,n,n,n,cancer,n,cancer,n,n,n,cancer,cancer,cancer,n,n,cancer,n,cancer,cancer,n,cancer,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,n,n,cancer,cancer,n,cancer,n,n,n,n,cancer,n,n,n,cancer,cancer,cancer,cancer,cancer,cancer,n,cancer,n,n,n,n,n,n,n,cancer,cancer
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.18476,,0.35364,0.526,0.9811,0.299,0.946,,,1.83717,0.21582,0.27,0.4579,,,2.49943,5.17283,2.2487,,1.49261,0.99,,0.2556,0.1158,,,0.25913,0.49452,0.1317,,1.82734,,,0.268,,,,,1.47375,0.15332,0.2475,2.32722,0.1792,,,0.6732,6.31128,6.66852,,4.2661,0.9464,0.543,0.11826,,,,1.6333,0.815,,1.12344,,3.74899,,3.67617,0.382,0.24837,0.1889,3.7562,0.4421,0.196,0.45595,0.184,1.9772,,8.59712,,0.3913,1.9435,0.3249,,,,1.42256,,1.794,,4.86513,0.1242,,0.2926,0.55,,1.678,,0.96638,0.7817,,1.47758,2.2183,,1.22684,,0.3963,0.63,0.25217,2.315,,,0.353,0.9628,,0.57558,,,0.14347,0.7825,0.2337,,,,0.2425
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,,,0.2888,1.2792,,,,0.3552,,0.1336,,0.71167,,,1.91597,,1.45371,0.2879,,,,,0.169,,,,0.223,0.42559,,,,,,,,,,,1.85216,,0.818,,,3.48381,,,,,,0.159,0.2724,,0.1382,,,,,,2.164,,,,,,,0.32782,,,1.347,,,,,,,,,,,,0.13334,,,,,,,0.239,,0.2183,,,,,,0.2822,,,,,,0.86,,,,,,,0.8936,2.29973,0.2278,,,,,,,,0.3548,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,,4.5844,,6.27761,,0.34762,5.9643,7.919,,,,,0.349,2.4213,5.83376,,,,0.81,0.57,,0.56182,,0.6267,2.45866,,0.6348,,,0.73429,0.2529,0.37747,2.8455,,0.73539,0.83,2.45917,1.9133,0.14416,0.33348,,,,,,1.4364,0.13728,,,,0.32693,,,,2.421,,,,0.71333,4.49866,0.1829,,,,,,,,2.84255,2.79471,1.11776,1.49126,,,,0.832,,0.2142,4.92338,,3.18219,0.1156,,0.13533,,,,2.42421,2.58224,4.795,0.7853,1.67352,,0.1243,,,,,,,,6.937,,0.53932,,,,0.61713,,14.53886,,7.82878,,0.335,,,,,,2.51744,0.161
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,,0.2138,0.47,0.288,,0.2642,,0.32581,0.124,0.674,,0.77,0.1975,,1.36573,,,,,,0.3174,,0.7385,,,0.1249,0.2943,,,,,0.1848,,,,,,,3.96625,0.887,,0.517,,0.14365,,0.23837,1.86174,,,,,0.541,,,,,,,0.5482,0.1986,,0.7917,,,,0.11244,,1.91582,0.2656,,,,0.3592,,,,,,0.1781,,,,0.831,,,,,,,,,,,0.13537,0.249,,,0.3627,,,0.155,,,0.233,,,0.1837,0.913,,0.1478,,,,,0.17,,,,,2.13687,0.23711
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,1.83731,0.8462,0.54684,0.5762,0.5824,1.18732,0.92612,0.6293,1.88451,0.9511,0.627,0.7251,0.5938,4.43329,2.4668,0.2239,0.18998,0.9341,,0.5656,1.845,1.26764,0.6212,0.48977,,,0.3135,0.76254,,0.32,0.67898,0.7581,0.3253,2.34762,0.23665,0.25171,0.1221,1.5276,0.4735,2.3694,0.32241,0.244,0.23773,0.72865,0.13375,0.572,0.4224,3.88895,0.52164,1.2377,0.3177,3.593,0.13963,4.72497,0.66995,7.4449,8.81769,2.2582,0.56316,1.49893,0.389,1.42811,4.28,0.6861,,0.38643,0.51,0.1862,3.26947,0.75435,5.47251,0.2263,0.6778,0.38845,0.56636,0.26,,0.5858,1.83729,0.75217,0.16261,0.28915,1.55194,0.1655,,0.34,0.3198,2.217,6.44464,0.2794,0.23861,0.2456,,0.65798,0.92586,0.2687,,0.2775,2.7412,0.8793,0.1512,0.194,0.52382,0.3755,3.67869,0.225,11.66138,0.2312,0.16191,0.3776,0.142,0.971,0.23755,0.3264,1.1571,0.7418,0.1371,0.8914,0.42883,0.595,0.24261
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,,,,,6.21198,,,,,0.2495,,,,25.1694,,0.6994,,0.76697,0.135,,1.46575,,1.29292,0.14958,0.8167,,0.76834,1.1524,0.2624,,,0.39864,,,0.193,,1.43626,,,0.44871,,0.6871,,,,0.7227,,,,,,,0.33152,0.1712,3.99518,,,,0.4322,7.74571,2.3845,,,3.26639,,,0.75,,,,,0.97825,,,0.11299,0.1655,,,12.2396,,,,,3.29117,0.6613,18.293,,,0.12589,,1.84192,,,,,0.928,0.22825,,,,,,,0.27649,,0.35414,,0.35321,,,,0.4518,,0.4592,,6.82221,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,,,,,,,1.24198,0.54731,,,0.69658,,,0.48792,,,1.6837,2.9596,,,,0.458,,0.5265,,,0.6599,,,,,,0.17491,,0.5,,,,3.73289,,0.3319,0.52482,,,,,,,,0.55,0.6864,,,,,,,0.7957,,,,,,,,,,,,0.93872,,,,,0.13215,0.2,,0.42221,0.31168,,,,,,,,1.11319,,,,0.3139,0.1559,,,,,,,,0.439,,0.3989,,,,,2.353,,0.31,,,1.33998,,,,0.36814,0.833,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,,,,,1.38125,,,0.26476,16.24833,1.25698,,0.1892,0.922,2.2399,,0.21,2.46858,12.67775,0.48,1.4642,,0.3883,0.415,0.83545,,,1.5371,,,,,0.323,0.15263,,0.55,0.52284,0.3721,0.74,0.1893,0.8233,1.65527,,,0.6998,,0.3862,5.3673,0.22,0.23,1.4839,0.1427,,,0.5596,0.8697,,,3.62938,0.138,0.1712,0.363,,,0.62,,,,0.2277,1.39846,1.9423,0.367,0.1261,0.5357,7.715,,0.1773,2.52137,0.6249,,5.3474,,0.39663,,0.39369,0.4778,,,2.3464,0.2154,2.64584,0.8357,0.97723,,0.621,,0.1589,0.42164,,,0.11,0.79,0.272,,0.55581,,,,0.187,,2.1785,0.716,3.265,,0.28964,0.17722,0.2143,0.5623,1.27216,9.6398,4.24734,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0.9135,0.44281,0.31238,1.19163,0.28379,0.64155,2.99323,0.68958,0.3214,0.16363,0.73588,0.22727,0.664,,2.4719,0.1421,,1.85463,,5.67563,1.29652,0.3,0.25713,0.6736,0.58989,,0.377,0.335,0.1973,4.99966,0.51775,0.14121,,,0.7978,0.7126,0.434,0.12928,0.33312,0.13742,0.78347,0.879,0.8856,0.24475,,0.3366,1.15763,,,0.5336,0.3434,21.3748,0.559,2.3817,0.5287,,,0.72659,2.6568,1.4759,0.13724,1.54383,0.535,3.42517,,0.54123,0.11257,0.8161,0.1394,0.1354,0.62754,0.4736,0.84148,1.35764,0.31657,0.1358,0.41781,0.23473,0.5315,0.3741,0.1598,0.612,0.86391,,,0.55348,,,11.82461,0.141,0.53625,0.33524,8.65244,0.56918,0.7293,0.782,0.5369,0.28224,,0.42,1.65119,0.2992,0.38218,0.1435,0.1522,0.2323,5.56478,0.54367,0.237,2.52273,,0.31978,3.83649,0.337,0.37713,0.45916,,,1.31212,3.89171,0.659
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,1.99325,2.17523,0.15844,11.83194,3.91554,1.82856,2.2325,0.27495,2.9125,2.2319,2.1432,9.36584,2.9334,0.4437,1.4573,0.62824,5.33942,1.98882,0.587,0.3679,5.65559,0.8162,4.175,1.65927,1.8545,0.3546,0.7378,3.2462,0.143,23.8176,4.5863,0.49359,6.38846,0.41421,0.74144,2.5457,0.71368,3.561,2.65178,0.4734,1.5431,0.16295,1.2838,0.1425,2.853,0.4228,1.43544,9.26326,4.66287,1.28431,0.56647,0.1386,0.66656,1.4531,1.5628,0.2294,14.62741,1.36633,1.45918,1.5654,0.34797,4.14865,2.18519,2.68477,0.186,2.51932,1.27247,0.3424,0.66345,0.271,1.486,0.5965,1.73711,1.79285,0.4183,0.398,2.4796,0.59842,3.94445,0.7136,1.1696,0.59878,14.91953,1.76599,0.23798,0.697,13.83343,1.24795,0.451,0.29979,0.78764,0.37584,0.339,0.94696,3.8865,0.43852,0.1249,16.7794,4.56538,0.6123,0.264,4.97239,2.81233,0.259,11.1392,0.16495,11.557,6.41355,0.43571,5.6469,0.1939,0.73655,3.85595,8.5559,4.884,2.15583,0.21791,0.15433,0.69586,2.2347,7.8786
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,2.8662,3.25463,1.2457,7.5262,1.15476,,7.5294,6.34745,3.53279,0.86298,1.91851,0.43316,1.2194,0.5764,1.85272,4.32762,7.46194,0.33,0.1251,0.4291,2.53493,2.76252,0.95535,0.57553,0.383,1.39495,1.89779,1.57254,0.6329,0.9114,0.15666,0.38913,1.27741,5.3648,0.49965,0.7521,1.5365,0.7995,0.6783,0.7394,1.82638,0.33878,0.947,0.9848,7.65774,1.3628,6.3393,0.91217,1.64152,2.18752,0.49788,4.99243,0.86515,7.88971,3.37524,7.59974,21.762,2.5359,2.78764,3.42612,0.26112,5.2587,3.51655,8.17571,,2.18597,1.65445,9.19993,3.848,0.4745,1.89286,0.32966,0.43,4.85666,0.16238,0.187,7.8845,1.25831,1.26828,18.87117,2.1233,4.96667,0.1779,0.15682,0.97342,3.12749,3.55353,1.26542,0.251,2.9295,1.1338,0.8129,2.79887,1.1523,3.1387,0.29246,1.5572,6.1284,2.84139,,2.16664,1.74485,,0.19976,3.72236,0.3383,0.92,2.72237,0.763,2.45578,0.11162,7.23715,0.53683,4.71695,0.92836,1.97624,0.15627,1.75389,6.75147,0.56791,1.8416
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,,,0.1652,0.1979,,0.129,0.3955,0.1946,,0.14128,0.13,0.1683,0.6462,0.2242,0.16894,0.3254,0.24984,0.19242,,0.638,0.7822,0.123,0.3779,0.1361,0.22348,0.6437,0.4984,0.8387,0.972,0.3194,0.1681,0.83,0.26658,2.24647,0.3928,0.463,0.86,0.29662,0.5548,,0.2849,0.1372,0.325,0.2518,0.1279,0.1283,1.34557,,,0.15574,0.93,0.2113,0.1996,0.4692,0.1287,0.9791,0.43689,0.29494,0.693,,0.533,,,,0.38,,0.2855,0.16782,0.63958,,,0.6288,0.8845,,0.147,,,0.44,0.439,0.3794,0.1665,0.8942,,0.6,,,0.1688,0.1774,1.25521,0.574,0.2471,0.7852,,0.21,,0.476,0.5964,0.1738,0.5198,0.211,0.114,0.342,0.3748,,0.1395,0.6341,0.4957,0.955,0.3947,0.4587,0.163,0.13592,0.7149,0.615,0.36553,,0.165,0.649,1.814,0.166,0.29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,0.35594,,0.23961,,0.2991,0.746,0.8645,0.39514,0.16684,0.51243,0.3221,0.72887,0.1857,0.7977,,0.31538,0.6749,,,0.8545,0.16853,0.3111,0.831,0.12341,0.11817,0.663,0.583,0.2985,0.2919,,,0.39714,,,0.1878,0.168,0.2919,,0.421,,0.23839,,,,0.34275,0.3929,,,2.1273,0.16923,0.991,,,,0.8388,,,1.11532,,0.688,,0.14155,0.6337,,,0.13829,0.11755,0.11417,1.91946,0.43558,0.11515,0.57,0.357,,,0.47,,0.237,0.47368,,0.5362,0.15155,0.13175,0.627,,0.46859,0.668,0.28859,,0.69,0.651,0.1247,,0.157,0.1552,0.73,,,0.214,0.93,0.9429,,0.3694,0.4482,0.45938,0.21247,0.1329,0.2126,1.52487,0.5246,,0.3255,,0.1184,,,0.1977,0.1115,,,0.21313
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,,0.23281,0.3251,2.84723,1.52818,0.91982,1.148,0.364,0.92456,3.63392,0.33356,1.48993,3.5435,1.71383,,4.12264,,0.1672,,3.9377,0.316,0.5276,3.76518,0.65684,,0.1764,0.6514,0.21762,0.17418,3.8574,,0.4941,0.39816,0.55142,0.4175,1.64666,1.28247,1.24538,0.26949,0.9168,2.72282,1.384,0.4745,0.39194,1.82433,0.948,0.12871,,0.83649,1.57367,0.31316,,0.4685,,0.23895,,,,0.576,0.485,0.7179,1.2837,0.42627,0.58769,,0.53911,1.18651,2.3822,1.3917,6.22147,0.65348,0.14815,1.53755,1.74576,0.1,0.369,,0.37348,1.86418,0.92753,3.1872,1.31536,,0.4982,,1.39828,2.4854,2.17179,,0.89658,0.74614,0.74377,,0.49129,0.17721,0.14499,2.5754,1.7955,,2.1644,1.195,1.73534,0.53214,0.96446,0.92158,,,3.8146,0.12227,0.471,0.276,0.5231,,,0.1757,,0.21147,0.76163,0.42341,0.847,1.51747
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus,0.12675,0.1215,0.19,,,0.16927,0.77622,,0.839,0.514,0.6995,0.1824,0.992,0.3693,,,,,,0.1242,,,0.14561,0.93,,,0.234,0.5529,,,,,0.6861,0.16115,0.114,,,,,,,,,,0.8248,,0.4473,,0.1856,,,0.672,0.166,,,,,,0.263,0.8296,,0.5358,,0.1673,,0.9445,,0.17219,,0.24371,,0.2416,0.139,0.2422,0.131,,,0.482,0.466,0.1949,0.7139,0.472,,,,0.474,0.7151,0.124,,,0.136,0.2336,0.7916,0.24337,,,0.19917,,0.168,0.95,0.7868,,,,,,,0.2978,,,,0.23449,,0.55,,,,,,0.16332,0.1616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus,0.22231,,0.16273,1.4193,0.5771,0.26542,2.34479,0.22936,,0.8945,0.115,0.13186,0.5759,0.65455,,0.6815,0.34454,0.4948,,1.52555,,0.22445,0.59961,,0.56185,0.3567,0.15427,1.19122,,,,1.6558,0.45194,,,0.2967,0.24471,0.36997,1.2124,,0.53491,3.81122,,0.5663,0.15976,0.9961,,,1.2766,0.8669,0.38798,1.41552,0.1338,,,6.83499,,0.7356,1.1678,0.9589,0.37461,0.34952,0.22287,0.6128,,0.41876,0.39689,1.78543,2.4857,3.85189,0.39696,,0.69283,0.8174,0.1921,,0.1171,0.23158,0.74727,0.65949,1.21258,0.37955,,,,1.5944,0.8223,0.32956,,0.2829,0.6586,0.73637,3.19693,0.2673,0.51889,0.23825,0.7858,0.11298,0.592,0.45184,1.1224,0.85949,,0.11943,0.9626,3.63116,,0.51963,,1.45881,0.3979,3.3641,,0.8348,,0.18133,0.15911,,,0.57173,0.46123
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified,,,,,,,,,,,,,,,,,,,0.293,,,,,0.288,,,,,,,,,,0.6455,0.787,,,,,,,,,,,0.6481,0.5856,,,,,,,,0.11986,,,,,,,,,,,,,,,,,0.684,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.169,,,,,,0.5713,,,,0.1672,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,,0.3225,0.1896,0.22618,,0.2768,1.34917,3.3429,0.21874,0.3914,0.1991,,0.1481,2.24651,0.44711,2.1682,0.46419,0.797,,0.46665,0.382,0.3894,0.23,,,0.21712,0.87699,0.11,0.483,0.48168,0.13347,0.14139,,,0.16644,0.962,0.42739,1.18587,0.27488,0.2975,,0.5272,,9.1552,,0.331,0.5575,0.441,0.4379,0.53642,0.961,0.425,,0.3642,2.3363,,,0.6622,3.15193,3.73593,0.684,0.43738,0.233,3.8819,,0.3689,0.37561,0.1866,0.71561,0.2556,0.8183,0.412,0.72,,0.2331,0.1159,0.1256,0.358,0.3989,0.79864,1.88368,0.687,0.47539,0.835,0.76478,0.8713,0.31873,0.78847,0.87,0.1239,0.1131,0.95,3.878,1.476,0.1972,0.8686,0.365,,4.92231,0.123,0.38217,0.4814,,0.9399,0.2699,0.32152,17.1415,0.4798,0.14137,5.68851,0.573,2.93888,2.41639,,0.7513,2.53551,0.3747,0.6782,,2.72196,1.47354
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,,,0.4987,0.18694,,0.932,0.9162,0.31,0.922,0.39987,0.41651,,0.16161,,,,0.67995,0.6566,,,,0.411,0.7516,,,0.8152,,,0.2364,,,0.1862,,,,,0.943,,0.559,,0.4251,,0.1384,2.9776,,0.75,0.1599,,0.5644,0.147,0.531,,0.391,0.281,0.4595,,,,0.76783,,,0.1361,,,,0.14998,0.3735,2.2716,,0.9496,0.3894,,,,,,,,,,,,,0.462,,,,0.261,,,,,,0.2623,,,0.1717,,,,,0.426,,,,,,0.3465,0.3469,,,,0.381,,,,,,0.488,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.7962,1.1643,0.72494,2.225,1.19372,0.22729,1.7234,0.2369,1.8124,0.61165,,4.31577,1.3343,3.41276,1.26876,,,,,1.15864,3.81964,0.58438,4.2432,2.25843,,0.16559,0.59673,1.64222,,0.2143,1.6684,0.44272,0.3731,,0.21183,0.18319,0.38365,1.5486,0.18622,0.28111,,0.63926,0.1959,,4.44222,0.33623,0.62333,2.46153,2.2337,,0.1445,0.35,,,4.59388,,,2.899,0.35165,4.684,0.52352,,,1.96897,,0.79359,0.615,0.264,5.46129,1.1893,1.95929,0.25475,1.32769,1.17849,0.19745,0.377,,1.7691,1.28148,2.94213,0.795,2.5142,,0.18471,1.62132,1.85877,,1.2217,5.19684,0.24289,0.47663,2.75142,,6.1369,0.2866,2.3911,1.7497,,,2.67632,0.99411,1.16698,,0.34276,0.757,2.32218,0.866,0.87922,0.1964,0.3966,0.19183,2.19884,,0.12948,0.2648,0.59932,,0.496,0.375,2.323,0.352
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,,,,0.214,0.4629,0.21457,,,,,0.6626,,,,,0.9291,3.96944,1.2455,0.182,,,1.3934,,,,,,,0.655,12.53686,,,0.28361,4.5262,,0.48455,,,,,,0.8646,,,,0.64256,,,,0.76623,,11.2961,,2.62845,,,,0.7549,,,,0.13254,0.9478,2.66558,,,0.8696,3.1665,,,,,,,,,0.3517,,,,,,0.84913,0.19363,,,0.45436,,,,0.5136,,3.93427,,,,7.96433,,,,,,0.91261,0.4125,0.29561,,,0.7793,,,0.1748,,3.7849,0.26779,0.18318,,,0.13816,1.11279,6.46151,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,,,,,,,,,,,,0.23,,,,,,,,,,,,0.41,,,,0.1573,,0.722,,,,,,,,,0.31332,,,0.1955,,,,1.46155,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,0.5544,,,0.5541,,,0.7296,,,,,,,,,,,,,,,,,,,,,,,,,0.1819,,,0.1846,,,0.43292,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_bennonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae,,,,,,,,,,,,0.36876,,,,,,,,,,,,0.391,,,,0.778,,,,,,,,,,,,,,,,,,0.51948,,,0.67,,,,,,,,,,,,,,,,,,,,0.3953,,,,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15292,,,0.399,,,0.15164,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,0.723,,,0.199,,,,0.17277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.643,,,,,,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified,0.115,,,,,,,,,,,,,,,,,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara,,,,,,,,,,,,0.7977,,,,,,,,0.31715,,0.2379,,0.1961,,0.26655,,0.16952,,0.2489,,0.11213,0.15363,,,,,0.18336,,0.895,,,,0.33985,,0.4779,0.1913,,0.26728,,,,,,0.1296,,,,,,0.18622,,,0.6199,,,,,0.28348,,,,,,0.338,0.59,,0.12554,,0.9125,0.28,,,,,,,0.1345,,0.2285,,0.12689,,0.11987,,0.3785,0.27241,,,0.4787,0.2287,0.2913,,0.3334,,,,,,0.671,0.26336,,0.9627,,,0.32495,,0.9428,,0.1516,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,,,,,,0.992,,0.27939,,,,0.42457,0.27,,,,,,,0.2323,,0.6944,,0.2615,,0.5442,,0.3318,,0.7842,,0.73967,0.22248,,,,,0.57517,,0.396,,,,0.66914,,0.11845,0.2186,,1.13516,,,,,,0.21195,,,,,,0.34156,,,0.2653,,,,,0.84168,,,,,,0.56,0.1321,,0.2169,,0.61545,0.4459,,,,,0.5838,,0.37595,,0.52533,,0.21559,,0.24241,,0.13921,0.42654,,,0.8315,0.48996,0.23679,,1.4977,0.132,,,,,0.6554,0.581,,1.68755,,,0.89755,,0.64621,,0.6587,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,,,,,,,,1.787,,,,0.1111,,,,,,,,0.4468,,0.759,,0.18,,0.1264,,0.61,,0.416,,0.638,0.877,,,,,0.3258,,0.2691,,,,0.127,,,0.2555,,0.4944,,,,,,0.4454,,,,,,0.334,,,0.58,,,,,0.12589,,,,,,,,,0.274,,0.9711,0.1546,,,,,1.8371,,0.999,,0.171,,0.231,,0.1735,,0.784,0.311,,,0.269,0.169,0.9813,,0.5962,,,,,,,0.647,,0.17134,,,0.593,,0.459,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia,0.517,,,,,,,,,0.85,,,,,3.7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,,56.666,7.565,,,,0.47215,,0.7453,,,,0.5252,,,,0.993,0.31,0.147,5.6813,12.24787,7.79379,,,0.456,3.99469,,,,,,11.1778,,,0.114,,25.85783,,,1.34431,,6.25832,,0.29929,,,21.18781,,0.63,,,0.238,,0.1281,,0.825,,,0.6825,,28.24438,,,,,,0.155,0.561,2.626,,,14.1657,2.121,0.387,1.37625,,0.125,11.28946,,,1.729,,0.12,,0.8911,0.2923,,,0.2241,,1.96159,9.22758,,15.71466,,0.548,2.6714,,0.353,,,,,4.4593,0.2515,37.5624,,0.82858,,,7.26264,5.13785,0.5438,,,,,39.9411,,2.85545,15.9926
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens,0.242,,,,,,,,,0.376,,,,,,,,,,,0.64,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,,,,,,,,,,,,,,,,,,,,,,0.77686,,,,0.39862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28261,,,,,,1.22382,,,,,,,,,,,,,,,,,0.11,,,,,,0.64528,,,,,,,4.97651,,,0.486,,,,,,,,,,,,2.7217,,,,,,,,,,,,,13.13384,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
