disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,n,ibd,n,n,ibd,ibd,n,n,n,ibd,n,n,ibd,ibd,ibd,ibd,ibd,n,n,ibd,n,n,n,n
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,0.8271,1.2282,0.128,0.8185,0.22457,,0.28354,0.274,4.51122,,,0.119,0.49,0.19419,,0.829,0.266,0.4756,0.8194,0.8686,0.7656,,0.4712,0.5452,0.11341,0.39451,0.87567,1.85234,0.61766,1.61145,0.2122,0.35116,0.57756,3.9448,0.545,,0.76723,0.2974,0.23,0.735,0.16376,0.43317,0.18356,1.892,0.19189,2.97373,0.1184,0.1248,1.5833,0.31399,1.23526,0.286,,0.176,0.5371,0.1284,3.52689,1.3232,2.27559,0.8386,0.4493,0.7485,0.59,0.93537,0.71221,0.2312,0.21667,1.23525,0.12949,1.3845,0.1836,0.57,0.63136,0.8389,0.7316,0.2898,1.663,5.66411,1.8417,0.26,1.85516,1.8966,0.2615,0.1847,0.255,1.43618,1.98154,8.4282,0.5376,0.15788,,4.98587,0.4133,1.47752,2.96755,1.49896,0.1581,0.23133,1.42433,0.6225,0.42,,0.22381,1.31828,0.937,1.113,1.1554,0.193,0.469,0.141
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,,,,,,,,,,0.932,,0.5284,,,,,,,4.4697,,,,,,,,0.156,,,,2.54576,0.13433,,,,,3.913,,,4.66894,1.28197,,,,,,,,,0.72271,1.8987,,,0.12933,0.3672,,,3.818,,,4.16822,,,19.4674,,,0.5745,,,,,,,4.3193,0.46,,3.62863,,3.63243,0.73862,0.589,,,0.17817,4.933,,,,,1.97491,,,5.9729,11.9493,,1.24419,,,,,2.26253,,1.555,1.7165,4.81532,,,1.11477,2.81391,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,,,,,,3.75117,,4.45878,,,,,,0.76126,,,,,0.373,,,,5.2788,,,,0.4829,,,,,0.66638,,,,,0.9153,,,,,,0.24125,,,,,,,,,,,,0.4562,,,,,,,,,,,,0.82514,,,,,,0.364,0.756,,,,,,,,,,,,,,,,3.87319,,,,,,,,0.14114,1.77912,,,,0.3224,,0.39323,,,,0.526,0.16229
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.413,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.23,0.22,0.11,,,,0.38,0.991,,,,0.15345,,,,0.172,1.1943,,,0.145,,,5.6669,5.67865,2.2888,,0.131,,,0.88282,0.51251,0.1693,4.23817,,0.3291,8.2439,0.261,,,0.15965,,2.23964,1.17724,0.5171,,11.43614,,0.4,0.728,0.39333,,,,,0.6267,0.5488,0.14,,,0.666,,0.2,0.92245,,0.39,0.238,,,0.76463,0.4,,0.33,,1.19491,2.3794,0.674,0.2849,0.1,4.21227,,,0.124,,9.29442,,,2.2822,,0.244,0.4278,11.8999,22.41582,0.6,1.79292,0.211,3.65598,0.3646,0.336,0.1188,1.45558,0.77689,,0.33265,0.285,0.94513,0.76,,0.14749,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0.51449,0.55564,0.1827,0.9678,0.75429,0.56458,1.6737,1.38142,1.32431,0.6539,,1.52715,,0.47142,,0.1888,0.18337,0.65711,,0.57725,3.2645,,1.179,1.46344,0.139,3.23361,0.34285,0.57897,0.47445,2.22862,0.32532,,0.27699,,0.47528,0.97278,0.5134,0.46,,0.1852,0.245,0.11754,,0.13978,0.29556,0.3,0.51634,0.1444,0.39741,0.217,0.1517,,5.51981,0.61,,,2.598,0.14363,,,0.22913,0.3617,0.532,0.19659,0.66417,0.4633,0.17215,0.341,0.4252,0.4152,0.42957,,0.4334,,0.8772,0.674,0.7736,1.32713,0.4191,0.26792,0.19338,0.28243,0.21192,0.631,0.178,,,0.668,0.296,0.1453,4.6698,0.284,0.1292,0.629,0.159,0.98858,,0.7453,0.2528,1.6888,0.859,,0.26254,0.92139,0.2114,0.16141,1.49892,0.3681,0.549,0.1939
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,3.4978,5.84116,0.15791,0.1767,1.2537,0.49234,3.234,8.28311,3.4215,0.7225,26.4675,1.63367,2.88161,4.9786,0.3252,0.3392,0.4829,4.78125,0.9211,7.62659,,7.21789,3.41282,4.954,6.7969,5.76383,1.1371,1.4658,1.6396,2.45863,1.53789,0.9782,3.34424,12.15883,0.28479,6.77393,0.72456,0.25361,,7.77317,0.367,1.65797,1.43871,1.6152,3.817,,,1.38356,1.19591,0.41853,6.93879,4.49294,,3.69483,4.38157,,7.44691,3.26883,4.19126,0.34548,2.88764,0.9954,0.1887,2.22566,0.99866,1.91124,0.7484,3.77244,0.1417,4.25286,0.46317,0.7983,2.4972,0.18444,1.754,0.65599,0.12536,,0.552,0.962,2.48867,2.86612,7.5951,0.8399,0.3753,1.2459,0.47573,,0.5758,3.8618,16.52839,4.99472,0.1566,8.7269,6.2623,9.27993,1.811,5.87588,0.6623,6.87269,0.4136,,2.57466,6.37427,2.98471,0.15,0.3688,0.7775,0.749,1.12498
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,4.86165,3.5394,0.84954,0.5621,2.516,0.2684,1.26375,8.98362,,7.79543,,1.44147,0.98443,1.58572,0.22758,0.35372,1.63819,3.87569,0.44258,4.743,0.43114,8.86659,2.61319,9.549,,2.2614,2.19273,3.629,6.78356,4.618,0.57564,1.2254,3.51925,3.2813,0.8388,0.7786,0.85365,0.284,,0.9342,1.64369,1.48912,2.62718,3.23461,0.8748,0.562,,0.6616,0.6162,0.64876,0.81213,0.78,21.42564,2.46565,0.8545,3.49519,3.6379,0.186,,0.82644,15.446,0.2613,0.54946,0.86767,9.16961,4.2414,3.44514,0.76127,1.5872,4.18688,0.334,0.22983,2.38281,0.64752,0.42454,0.21722,3.4582,,0.13632,0.6517,2.9495,0.78944,3.74134,1.96289,0.12981,,0.7679,,0.86298,2.1863,4.89793,5.96546,0.42579,0.71221,,3.1789,3.5351,1.3546,0.18,0.775,1.1327,0.3453,0.849,1.91579,1.84946,2.1768,0.45152,3.69882,0.752,1.2434
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,0.567,0.32967,0.6721,0.1883,0.1158,,0.1474,0.26641,1.22947,0.3155,,0.776,0.77226,0.61,0.132,0.173,0.6423,,0.1189,0.3441,,0.5391,0.3376,0.1838,,0.9778,0.199,0.68,0.2414,0.733,0.1159,,0.3215,,0.2494,0.51235,,0.262,,,0.1274,0.46349,1.39342,,,1.6327,0.1993,0.19516,0.2111,0.956,0.547,0.89375,,0.1159,0.173,0.2895,2.4381,0.48934,0.85894,0.431,0.2651,0.686,0.8582,,0.7664,,0.8526,0.1251,0.1178,0.2943,0.2377,,0.12385,0.4838,0.32691,0.5225,0.293,,,0.124,0.655,0.817,0.258,,,,0.4621,0.1391,0.2727,0.1988,,1.23224,0.231,0.19936,0.2558,,0.81,0.1398,0.1385,,0.1736,,0.159,,0.1422,,0.2938,0.183,0.348,0.949
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,1.68719,,0.6112,0.3463,0.4488,,0.5449,,,0.19862,0.215,0.6776,,0.57431,0.3247,0.287,0.16269,1.11724,0.251,0.76158,0.67324,4.24951,0.44451,0.31868,2.93872,0.47758,0.86241,1.1186,0.26577,0.81431,0.39497,0.18151,0.22422,0.51775,0.7575,0.72253,0.7531,0.179,,0.1795,0.63235,0.56428,0.3637,0.2298,,,3.17784,0.12392,0.47959,0.43189,3.83326,0.45181,0.3235,0.19278,0.7224,0.78219,,0.12746,,,0.164,0.61563,0.8993,0.749,0.2182,2.65174,0.4478,1.3415,0.189,0.31912,1.7548,,,0.66645,0.21791,0.2618,0.538,,3.99539,0.2711,0.48829,0.2852,2.24761,2.4251,0.775,0.91363,0.978,,0.6348,0.7139,,0.623,0.11564,1.61323,1.96256,,1.789,3.6237,1.8567,1.18839,0.3466,1.18113,0.21486,0.22715,0.1234,0.8166,0.77133,0.1412,0.1326,1.7977
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,0.41568,,0.8867,0.1678,3.22483,2.85955,3.4723,4.37752,,2.44956,4.7898,0.7199,,12.6615,0.5682,0.1311,0.7693,1.21551,0.38825,1.61847,1.82168,0.6183,0.1118,0.2459,,1.32562,5.4662,7.8671,0.42795,0.85451,0.35585,2.95217,3.29357,0.6199,0.56492,,0.4238,0.724,,0.665,0.5892,2.9132,2.4119,6.87551,,11.17699,6.75191,0.21459,1.1776,6.96841,4.6668,9.3319,,2.51998,1.26743,5.75776,1.779,0.13385,,2.39454,1.8586,0.56123,0.48392,7.49614,3.53922,0.72921,0.15741,4.63347,0.29744,2.6195,3.37162,0.9826,0.5599,1.26145,0.26837,0.15587,1.2357,,0.1646,0.9312,1.4828,0.26933,5.6262,7.17358,0.7324,0.227,0.4786,,0.7729,0.81192,,1.5917,0.646,1.18642,0.75658,3.9557,4.29,1.496,,2.85121,1.2483,4.39828,2.2125,2.62276,0.23514,1.1551,3.4441,0.79868,1.13554,2.17368
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus,0.7159,0.6959,0.7733,0.498,0.5893,,0.849,,1.3378,0.11492,,0.3892,0.2324,,,,0.787,0.642,,,,,0.52,0.216,,,0.1737,0.3614,,,0.159,0.12799,0.26742,,,,0.1111,,,,0.4522,0.1824,0.236,,,,0.43117,0.3415,,0.8369,0.3358,0.779,,0.262,0.5223,0.9347,0.7397,0.6387,,0.2585,0.11,0.29,0.51,,0.2171,0.18596,0.793,,0.1526,0.14976,,0.362,,0.2361,0.841,0.225,0.72,,0.618,0.128,0.911,,,0.919,,0.342,0.144,,,0.6371,,,0.28,0.1543,0.789,,0.4954,0.5518,,,,0.7895,0.469,,0.5284,,,,0.3795,0.41
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus,0.88831,1.19365,0.65566,0.67169,1.61682,1.82977,0.419,1.2733,1.378,1.95977,,0.33237,,1.4872,,0.42547,0.31757,0.6333,0.16359,1.13363,2.38134,1.67442,0.61745,1.16469,0.99469,0.96749,1.379,1.4797,0.52471,0.9979,0.4579,0.64955,0.73611,0.53328,2.4413,1.48518,0.4259,,0.34524,0.36283,0.37638,0.42873,0.93925,0.57776,1.59191,,0.74518,0.77868,0.6837,0.75277,1.29891,1.47756,1.11922,0.8137,0.571,0.25368,0.85933,0.22831,1.92634,0.7661,0.7754,0.93874,0.52113,1.66452,1.76553,2.5175,0.3887,0.57413,0.23593,0.6721,0.78135,,1.2725,0.74883,0.72954,0.21561,0.19546,,0.23441,0.9399,0.45875,0.2198,0.6422,0.83286,0.12642,,0.1872,,0.19665,0.84447,,0.77941,0.1736,0.8623,0.4372,0.83,1.356,0.51812,0.26558,0.72654,,0.9923,1.197,1.89639,1.2835,0.42948,0.9292,0.7149,0.75464,0.47513
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified,,,,,,,,2.584,,,0.3844,,,,0.8414,,,,,,,,,,,,,,,,,,,,,,,0.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9368,,0.594,,,,,,,,,,,0.4573,,0.2836,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.21295,0.13544,0.4426,0.3188,0.2242,,0.67235,2.31663,5.72778,0.81532,1.26967,,,0.59745,0.22,0.9241,,1.27142,0.26589,1.99416,,0.1584,0.38143,0.265,,0.36234,0.312,,0.23936,0.8972,0.1434,1.67297,0.39425,0.55523,0.11423,0.47698,0.43592,0.794,,0.49745,0.3138,1.6634,,0.53742,1.16996,,0.96558,0.299,0.7161,,0.2265,0.1379,3.13111,0.1288,0.5942,,1.33232,0.611,5.4265,0.137,,,0.9688,0.11514,0.29312,0.11294,0.29932,,0.1767,0.117,0.34,,0.9243,0.2988,0.89184,0.1192,0.3377,,0.7179,0.161,0.48979,0.2295,1.85489,0.173,0.2565,,0.11866,,0.226,1.16461,0.472,1.42643,0.8884,,0.24153,0.115,0.13568,2.44141,0.3665,,1.5136,0.8194,0.96316,0.28762,2.8446,0.896,0.71566,0.6248,2.2953,0.18914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,,,,,0.47921,,,0.1347,,,,,,,,0.23414,,0.52157,,,,,,0.1151,,,,,,,,,,,,,,,,0.7173,0.11523,,,,,0.81141,,,0.178,0.81558,,,,,0.459,,,,,,,,,0.4794,,,,,,,,,0.234,,,0.657,,,,,,,,,0.324,,,,,0.61621,,,0.2695,0.16716,0.3229,,0.12467,0.48741,,0.1523,,,0.1643,,0.27735,,,,0.1163,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.3314,2.35117,0.19525,0.3656,2.8555,0.86879,0.524,0.59748,5.49264,1.28219,,,,1.45984,0.7567,0.55419,2.7652,,0.3685,1.13279,,,2.952,2.62861,1.76599,2.82255,0.66128,0.931,2.774,,0.67336,0.6159,0.82946,,1.24365,,0.91112,0.44894,,0.374,2.4236,5.9525,3.26828,2.34444,,,,1.3643,2.97683,2.3921,,9.99,,2.6761,1.47391,,,2.6169,,4.78966,1.4898,0.14772,0.41313,0.34612,,1.5244,1.155,2.1861,1.2656,1.588,0.51,0.881,0.95967,0.12742,2.69128,0.5976,1.22514,1.37217,4.26246,0.4127,,0.7684,2.88378,0.89221,0.14951,,0.11438,0.345,,1.26276,,,0.5783,1.72628,0.4319,2.4856,1.18435,0.77,2.44455,3.2555,0.46144,,0.7728,,1.45421,,0.577,1.36539,1.37366,1.82783
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,0.35584,,0.67371,1.8469,,2.27451,0.36394,,2.54495,5.66493,5.29483,2.69954,0.841,2.34743,0.4984,0.3213,0.44522,,2.61661,0.68889,0.3674,0.9524,4.7917,3.53211,,,0.45491,,,0.73486,0.44184,3.3531,1.77697,1.2121,0.6113,1.83661,,0.53514,0.2573,1.1165,1.25296,,,0.9998,0.39241,,0.32142,1.51778,,,0.6987,,7.15271,,,1.34177,,0.67315,13.43955,,2.44966,0.9353,,2.81194,6.96494,0.4596,0.87728,3.35693,0.48534,3.1197,0.2247,0.1787,0.58656,2.7149,0.69112,,,,,1.1834,0.83219,,,,0.6994,1.57247,0.856,,0.43693,,7.47774,4.99293,0.5429,1.52362,0.112,1.8647,0.8394,3.7636,,,,6.64554,2.13252,1.3672,1.8871,0.48917,,0.89214,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,,,,,,0.1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1755,,,,,,,,,,,,,,0.2396,,,,,,,,,,,,,,,,,,0.127,0.283,,,,0.237,,,,,,,,,,0.171,,,,,,,,,0.35953,,,,0.21,0.313,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_bennonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1339,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae,,,,,,0.125,0.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6846,,,,,,,,,,,,,,,,,,0.4287,,,,,,,,,,,,,,,,,,,,,,,,4.162,,,,,0.52,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11249,,,,0.548,,,,,,,,,,,,,,,,,,,0.7772,,,,0.74,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified,,,0.2833,0.2877,,,,,,,,0.4,,,0.756,0.2353,,,,,,0.385,,,,,,,,,0.141,,,,,,,,,0.93,0.567,0.7564,,,,0.393,,0.3255,,,,,0.233,,,,,,0.271,,,,,,,,,,,,,,0.611,,,0.1218,0.46,,0.588,,,,,,0.1686,,,,,,,,,,,,,,,,0.3148,0.25,0.487,,,,0.32,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara,0.2558,,1.1664,0.4998,,,,,2.4496,,,,,,0.4974,0.7365,,,0.46439,1.32294,,,,,,,0.15322,,0.92514,,3.58957,14.4499,,,0.8141,,0.2365,0.1785,,0.51884,0.9113,0.114,0.6114,0.78873,,,,0.2876,,0.45,,,,0.28821,0.28661,,,0.41612,,,,0.39747,0.1784,,,,0.9688,,0.21771,,,,1.6532,0.37651,0.5823,,0.4989,,,0.22,,,,0.22529,0.23238,,,,,,,,0.1225,,,,0.13687,,,0.5882,0.2852,,0.81685,,0.72445,0.42163,,,,0.2876
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,0.2147,,3.2459,0.9837,,,,,1.36511,,,,,,0.12263,2.26281,0.3387,,0.72491,2.2382,1.2156,,,,,,0.3511,,1.73926,,6.73178,11.24563,,,0.79126,,0.5149,0.731,,1.15657,1.87243,4.1349,1.26678,1.45796,,,,0.5463,,0.2758,,,,0.8817,0.63525,,,0.8567,,,,0.71721,0.29968,,,,1.15554,,0.14921,,,,2.4368,0.57553,0.677,0.53829,0.79851,,,0.4939,,,,0.75657,0.35425,,,,,,,,0.26226,,,,0.2672,,,0.895,0.29271,,0.51945,,0.55465,0.2813,,0.33346,,0.3714
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,0.79,,0.29768,0.742,,,,,0.59593,,,,,,0.359,0.17861,0.73785,,0.1496,0.27546,5.17924,,,,,,0.513,,0.2786,,0.571,2.3229,,,0.8372,,0.781,,,0.5586,0.5565,18.6912,0.3269,0.11856,,,,0.8425,,1.869,,,,0.244,0.1811,,,0.6815,,,,0.2723,0.5864,,,,0.22369,,0.4644,,,,0.1334,0.4642,0.984,0.96684,0.5733,,,0.71,,,,0.19,0.3666,,,,,,,,0.2793,,,,0.2373,,,0.98,0.4741,,0.21598,,0.8433,0.4221,,0.617,,0.61
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia,,,0.13,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2628,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,0.221,,,,,,,,,,,,0.3226,0.17,,0.7922,,0.2388,,,,,,,,,,,0.145,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,,,37.22481,1.71433,,,,,,,,,46.2388,,1.47814,6.2381,58.73443,,65.42176,,0.1237,,,,,,,,,,16.11543,,,25.42866,11.9343,,,8.47188,,0.288,,,,,,,,27.65232,38.7329,15.49411,,,,,,,,,,,,12.856,56.612,0.23488,,,,,67.527,3.34795,0.1981,0.2916,3.7975,,26.82993,3.298,5.77971,,,25.58825,0.1561,,,0.627,4.6835,,,,,,,,64.58592,,,,,,,,0.1564,,2.47351,,,7.66643,0.1445,41.1882,0.54,0.382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens,,,0.71,,,,,,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,0.857,,,,,0.485,,,0.618,,,,,,,,,,,,,,,,,,,,0.289,,,,,,,,,,,,,,,,,0.1188,,,,,,,,,,0.524,,,,,,,0.367,,0.1336,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,,,,,,2.36212,,,,,,,,,1.54742,8.531,,,,,,,,,,,,,,5.4562,0.1622,,,,,,,0.4113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31922,,0.96885,1.56181,,,4.96571,,0.25,,,,1.57757,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2351,,,,,,,,,,0.3645,,,,,,,,,0.2133,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,2.5774,0.2938,1.8264,0.65,0.21599,0.221,0.17344,0.319,0.12274,0.43,0.11243,0.422,0.11829,1.951,,0.843,0.6526,0.333,0.566,0.47453,,0.2458,0.1445,0.997,,2.48183,0.16319,0.27738,0.438,0.24433,0.253,0.879,0.29769,1.31557,0.21234,0.18467,0.836,0.4464,2.65417,0.3825,0.27876,0.4557,,,0.15319,2.67432,,0.47,0.64859,0.7982,0.3386,0.23878,0.1297,0.16644,0.2297,0.2737,0.1674,0.439,2.56289,0.585,0.3329,0.998,,0.46325,0.821,0.819,0.2186,0.69978,0.47,0.4774,0.827,,0.612,0.3614,,0.5891,0.2665,,0.17261,0.1478,,0.588,,0.458,,,,,0.6597,1.31251,,,,0.1778,0.3728,0.32,,0.95642,,,0.252,,,,0.2284,,0.11626,0.828,0.3778,0.9149
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,0.22222,,0.1479,0.4892,0.3116,0.363,0.61,0.5399,,0.6581,0.812,0.31931,,0.353,,,,0.18752,0.2465,0.329,0.21994,0.7583,0.515,0.1322,,,0.4326,0.1792,,0.7119,0.137,0.3918,0.3198,,0.25627,0.15711,,,0.92382,0.86,0.1729,,0.8758,0.6511,0.2419,0.942,0.13139,0.6553,0.24146,0.6484,1.11194,0.732,,0.1221,0.122,0.2934,0.1324,0.511,,0.3372,0.91,0.338,0.13732,0.13438,0.9886,0.1535,0.2376,0.7213,0.782,0.1933,0.592,,0.1695,,0.1661,0.3578,0.6399,,0.83146,0.849,,,,0.59759,0.157,0.789,,,0.3884,0.918,,0.18296,,0.249,0.13912,,0.2992,0.13762,,,0.514,0.4775,0.368,,0.6751,0.1534,0.13619,0.6821,0.1675,0.14598
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,7.8243,2.8986,0.199,0.188,1.89942,1.23888,4.57888,0.27162,1.31978,1.1197,0.51929,0.464,1.8483,3.95938,,0.539,0.14418,0.6165,0.521,0.783,1.2153,1.36,0.1,1.13952,0.271,0.2356,0.29931,0.4899,0.4481,,0.5987,0.96281,0.15454,,2.87758,0.13173,0.6855,,3.25866,0.3574,0.18932,0.6527,1.27138,1.12444,1.8797,,4.83213,0.5596,1.79517,0.96599,1.69785,1.12589,3.46271,0.79732,0.21843,0.45811,0.317,0.422,23.89552,0.32522,0.1848,0.3454,0.22,0.22929,0.2964,0.91769,0.9995,0.2857,0.52,0.44263,0.2823,0.288,0.676,0.6913,0.2945,0.231,0.87,0.388,0.14436,0.2525,0.38644,0.5754,1.91937,0.894,,1.9579,0.47996,1.94171,0.16995,2.49219,,0.7843,0.1898,0.23883,0.12541,1.61883,0.8773,7.2343,0.67411,0.12,0.24875,4.7119,,0.19888,3.3316,,2.77475,0.3618,0.12996,0.1223
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,2.7212,,5.961,1.34177,5.83741,5.99184,6.63376,4.8815,5.5323,1.89472,8.2951,3.2625,,11.67323,0.29,,3.41328,5.35744,1.7316,2.71812,0.2815,0.4194,2.62959,3.1486,0.125,4.9745,6.7662,8.8582,3.83796,,3.98,6.8946,8.6782,0.485,4.71324,1.56958,5.27568,,,2.97476,4.779,5.1454,7.17512,,3.6558,,0.255,0.1554,6.1312,6.59558,3.87799,3.55791,,5.722,6.55,7.556,0.131,0.896,,4.77658,2.661,5.28284,0.198,0.88882,2.65656,11.13474,3.74178,15.19746,0.66945,4.98194,4.6687,0.1757,0.2826,2.3919,2.53996,0.9937,3.78515,,3.46967,4.2411,,8.57463,8.6771,0.3189,0.5394,0.1437,0.539,11.5733,4.458,6.98842,,0.196,0.36461,4.79586,7.96776,4.138,,3.35927,0.3866,14.51335,1.5923,0.4183,2.35668,,6.29486,7.6942,6.82631,2.33914,5.543,1.91144
