disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,,0.1557,0.917,,,,0.1645,0.489,,,,,,0.742,0.129,0.247,,0.163,0.517,0.517,,,,0.794,0.74,0.151,0.2262,,0.139,0.211,0.738,0.174,,,,0.14,,,,0.669,0.934,,0.39,,,0.1848,0.797,,,0.776,,0.285,0.64,,0.792,0.544,,,0.3238,,,,,0.4641,,0.43,,,,0.1432,0.711,0.242,,,,0.379,,,0.2262,,,0.37,0.149,,,,,,,,,,,,,,,,,,0.1299,,,,,,0.12,,,,0.1464,0.1424,0.156,,0.145,0.252,,,,,,,,,,,0.239,0.137,,0.973,,,,,,0.338,,,,0.875,,,,,,,,,,,,,,0.374,,,,,,,0.315,,,,0.296,,,,,,,0.888,,0.388,,,0.271,,,,0.15,,,,,,,,,,,,,0.2,0.534,,,,,,,,,,,,0.492,,,,,,0.456,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.24,,,,,,,,,,,,0.4462,,,,0.57,,,,,,,0.38,,,,,,,,,0.357,,,,,,,,,,,0.76,,,,,,,,,,,,0.4,,0.799,,,,,,0.53,,,,,,,0.13,,,,0.129,0.55,,,,,,,,,,,,,,,,,,0.876,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis,,,,,,0.89,,,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1386,,,,,0.793,,,,,,,,0.2468,,,,,,,,0.72,,0.379,,,,,,0.4644,,,,,,,,,,,,,,,,,,,,,,0.4419,,,,,,,,,,,,,,,0.542,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_barnesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0.121,0.38671,0.7123,3.28782,0.49,1.4622,0.237,0.551,2.23733,0.656,0.77,0.68,1.4813,0.93,1.17859,0.28494,0.662,0.22511,1.3399,0.63,1.34539,6.75447,0.46341,0.544,2.22343,0.8454,0.57416,0.3747,0.41828,0.23245,0.5837,1.81835,4.2312,1.21174,0.611,0.426,0.634,0.3955,18.1632,1.13421,1.5622,0.55787,0.192,0.9694,6.286,1.5926,5.6544,0.16841,2.24766,0.525,0.27562,1.32892,0.311,0.7615,2.43224,0.651,2.37792,1.6484,0.5778,0.1331,3.62357,3.37796,0.3743,0.1959,0.1369,1.13516,0.13,1.28655,2.5315,1.6148,0.116,0.1117,0.1842,0.17459,4.79454,1.98233,0.644,1.4596,0.2141,0.1386,0.26394,2.1472,0.46453,2.37458,0.23394,0.1196,0.6266,0.64737,0.33983,1.57792,0.25991,4.64793,0.3484,0.873,0.626,2.4672,2.48115,2.6877,0.18398,1.9743,2.29413,0.5599,1.34452,0.1755,0.1647,0.51277,0.444,2.19816,0.482,0.1159,0.38374,0.35352,1.3714,0.1913,3.1879,1.14216,0.4174,0.42972,1.3822,0.15731,0.53521,0.1475,0.287,1.6838,2.8845,12.7936,0.19,1.88748,8.8729,0.492,1.351,0.2215,1.1927,7.95281,0.355,0.1735,0.371,4.34613,1.79332,0.99949,0.879,0.58729,0.235,0.315,2.22721,2.51126,1.9562,2.79736,1.88631,2.73559,3.12237,4.13522,0.13219,7.1262,0.88427,0.6617,0.6138,4.15127,0.2992,4.66174,1.16744,27.5251,0.3291,2.2128,0.5132,0.466,0.2844,,0.843,,0.134,0.87223,,2.54593,0.3331,0.2649,0.1132,6.2334,0.238,0.1339,3.32438,2.164,6.15869,0.14991,0.967,0.1486,1.7245,0.119,0.1466,0.262,2.44126,4.9223,1.8722,1.52252,0.6126,5.6685,0.1691,0.936,5.97276,0.2668,0.77,0.961,0.1893,1.56356,0.2959,12.63783,0.82314,0.344,0.1441,0.22779,1.32433,0.9231,0.428,0.1951,1.3387,7.87272,0.3171,0.1429,1.4948,8.68715,3.41254,0.3148,4.38159,0.858,0.68199,3.47631,0.8662,1.3358,5.121,,15.2789,1.88819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,0.11513,2.3533,0.1389,,0.218,0.4957,0.7339,0.61412,0.1559,0.166,0.351,,0.1524,0.55276,0.1486,0.871,1.15639,,0.8198,0.14,0.1268,2.85511,0.44129,0.49,0.51445,0.2894,0.7714,0.22122,2.98472,1.7921,1.3811,0.38923,1.6457,4.47446,0.4131,0.1179,0.589,0.716,0.96,2.19214,3.5512,0.9537,0.1818,0.952,,3.7731,0.3696,0.67464,0.7654,0.29227,0.28977,0.38,0.41234,0.1416,0.17374,0.4886,,0.9643,0.4923,0.2634,1.48961,0.4992,0.3156,0.33,0.368,0.2435,0.955,0.16749,0.22176,0.3336,0.1751,0.32,,,0.36211,0.39594,0.5314,0.986,4.12479,0.1111,0.83,0.1294,,0.4752,0.14,1.221,0.46547,0.1185,0.389,0.22723,0.2162,2.7211,0.5439,0.427,0.14224,0.1599,0.1273,1.6385,0.193,0.5834,0.376,0.2769,0.98891,,,2.2482,0.736,0.88156,,0.23761,0.1331,0.99952,0.2373,0.24,,0.2293,1.82182,0.339,0.39,0.1188,0.1172,,,0.86267,,0.664,0.2194,0.2589,0.62,0.4673,0.75,,0.466,0.1752,,0.82,0.2679,,0.7791,,0.92,0.466,0.11744,0.1672,0.173,,0.1813,0.44472,0.3982,0.3992,0.15743,,0.182,0.165,2.25666,0.759,0.35442,0.7198,0.15,1.38987,0.184,,,0.461,0.1669,,0.1541,2.9619,0.989,0.98332,0.965,0.247,0.657,0.988,,0.155,,0.526,0.7541,0.74,0.1219,0.13857,0.2896,0.22,0.98,0.27359,0.281,0.81,0.11763,0.23,0.77857,0.2149,1.2133,0.2633,0.2939,0.317,0.226,,,0.153,,0.5416,0.65,0.37466,0.14,1.5286,1.5326,0.741,0.4425,0.137,0.5875,0.2847,0.187,,,,0.2969,,0.7985,,,0.846,6.29663,0.265,0.1283,0.1299,0.2271,0.2872,,,0.1172,0.1129
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,0.21,,0.1869,,0.332,,,,0.1222,0.4464,,,0.7655,,,0.1462,,0.1462,0.11334,0.24,0.18565,,0.618,,0.79,0.1458,0.29162,0.18139,0.14981,1.52322,,0.22746,0.449,0.15,0.713,0.29,0.4788,0.2429,,,0.755,0.44,0.189,0.8964,,0.1894,,0.136,0.1128,0.47274,0.2218,0.529,,0.486,0.68898,,0.52162,0.2519,0.42357,,0.1797,0.17651,0.13294,0.9316,0.277,,1.29,0.43714,0.2397,0.3695,0.315,7.21847,0.12541,,0.955,0.734,0.646,0.497,0.1557,0.8634,0.439,0.21169,0.195,,,,0.2833,,,0.386,,,,,0.3431,0.1979,0.434,0.3459,,0.1178,0.3858,0.82566,0.38159,0.89,,0.4148,0.717,,,1.662,,,,0.519,,,0.117,3.2195,,0.156,0.18779,,0.622,,0.39,,,,0.115,,,0.39,0.8174,5.1641,,0.175,0.289,0.14,0.1597,0.16,,0.211,0.33,,0.197,,0.424,0.122,,,,,,0.27,0.927,,,0.63,,0.15,,,,0.232,,,0.68,,,,,0.54,,,,0.621,,,,0.4662,0.18,,,,,0.139,,,,,,0.6916,,0.8152,0.32,,0.76,,,,,0.1769,,0.225,,,0.1225,,,,0.98,,,,,,,,0.293,,0.5,0.174,4.3475,0.326,,0.1335,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,5.9583,0.488,0.371,0.3493,0.3765,0.4499,0.352,0.3784,0.4963,24.9857,0.628,0.2629,0.65,0.839,1.6232,0.1848,0.349,0.782,0.166,0.2321,0.19194,0.121,2.5945,0.393,0.619,4.34523,,,0.339,0.255,0.445,0.121,0.7123,0.4551,1.78665,0.2629,0.4528,34.9311,0.8554,17.77234,0.233,0.31255,0.541,16.55351,,0.6739,0.6578,17.23488,8.99357,21.1722,1.8837,0.5844,19.86714,0.5462,,0.398,0.19,0.4712,,0.1252,0.3595,0.11845,0.6228,0.1131,0.3154,,0.318,0.76,0.891,0.54,0.2655,0.13494,0.73,17.5529,0.716,14.7482,0.2354,0.4996,0.3583,9.56149,13.38187,0.478,0.217,2.1618,0.48884,0.277,1.1617,0.1776,7.9983,1.72986,0.498,0.42781,,,8.88453,7.9787,1.35964,0.1693,6.86429,25.6846,1.9713,0.2547,0.6377,0.1393,28.271,,13.56226,0.9918,0.3288,,5.1553,0.71,3.657,4.96,7.15412,,0.484,0.24,1.978,0.66299,0.681,0.62,,0.296,,0.3,,0.789,0.381,0.1855,0.88126,,,0.234,0.12723,0.2388,,0.1397,0.245,,0.7466,0.24,,,0.523,,0.38,0.194,0.188,0.959,8.36783,0.28,0.6958,14.6749,,0.949,1.1418,0.23897,0.348,0.3537,0.447,0.629,0.1221,0.66461,0.1274,,0.5871,0.1233,0.1185,0.1247,0.3161,0.98784,0.1723,3.93215,0.1945,0.8665,0.2854,0.15571,19.829,0.9936,12.85339,0.1794,0.1987,0.2825,,0.2682,1.45,,,0.448,0.446,0.449,0.564,0.34,3.8372,1.4645,0.54,0.6253,,0.12822,0.719,0.73,0.5496,2.45753,0.1786,0.384,0.44,16.8787,35.1563,0.2732,,0.26669,0.59,0.8538,0.15368,,0.49772,,0.1495,0.9671,,0.5366,0.3292,0.1586,0.3264,0.565,0.2734,,4.84819,,0.113,1.2643
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus,,,0.118,0.2768,,1.32291,,0.322,0.1135,,,,,,,,0.1237,,,,,,,,0.859,6.248,,,0.1138,,,0.96,,,,0.18652,0.2361,0.1593,0.1698,0.986,,0.1276,,,,0.841,0.1627,0.945,,0.15,,,0.2436,,,0.416,,7.76483,,,,,,,,,,,,,,0.42,,0.119,,,0.32,,,,,0.234,3.96291,4.14496,,9.67933,,,0.4212,21.12872,,,,4.8536,,,,,,,0.2334,,,,,3.48572,,,,,0.178,,,,,,,,,,,,,0.669,,,,,,1.3219,,,,,,4.43176,,0.527,,0.952,0.167,,,,,,,0.2675,,0.714,9.94327,0.1,0.1161,0.1466,,,,,0.574,,,,0.1427,,0.1742,,0.1525,0.897,0.56,0.125,9.69711,0.437,0.2157,,,,,,,,,0.2479,,,,,,,,,,,,,,,,,,,,,,,,0.895,,0.9999,0.487,0.1614,,0.463,0.68,,,,0.59,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,3.2528,0.8212,0.9191,0.1218,0.274,0.4796,6.5966,0.29727,0.16596,0.147,5.9774,0.2216,4.32987,5.89157,0.3831,0.1523,0.1666,0.6794,1.74261,5.68245,0.31177,0.164,0.46115,0.83575,0.2773,2.67933,0.86191,0.1936,0.7173,1.51979,4.23727,4.37983,6.7411,1.82193,0.26698,0.6481,1.875,1.15428,15.8813,0.67554,0.49248,0.43366,21.3421,0.221,0.31386,0.1872,0.1537,0.97427,0.4697,0.21384,5.96481,3.593,16.98667,0.23783,0.1597,2.4778,3.1359,0.831,0.36132,16.96461,0.331,1.3833,1.67898,1.42338,0.66854,0.87312,36.74261,7.1832,5.18724,3.88975,0.452,0.1419,0.2338,0.6833,1.29316,1.62115,4.22634,0.47686,0.2792,0.26845,0.17219,0.3362,1.2896,0.3196,0.241,0.122,0.26891,0.1473,0.357,0.8825,6.17562,0.652,1.8371,0.34111,1.7118,0.2855,1.13121,0.563,0.442,1.15483,1.6189,0.71593,0.1599,0.2697,,0.58898,0.36628,12.4562,4.91,7.79986,0.5649,2.7425,1.76455,0.2781,0.296,0.3869,34.1159,0.18167,0.1446,0.7998,0.3386,0.1531,0.1265,0.627,0.35714,8.4969,0.3458,0.5575,0.2545,0.23724,0.26197,0.446,0.2335,0.8312,8.44472,1.45917,0.99277,3.61572,0.19931,1.13749,14.72629,0.5358,0.26914,7.99233,5.48198,9.39982,9.9435,0.2523,0.19284,0.1643,0.83616,0.34311,0.39796,0.334,0.287,1.8565,4.7464,0.48537,0.68257,0.624,3.21325,0.1336,0.1595,0.67673,0.99,0.185,0.5524,0.275,0.312,0.734,0.3845,0.26442,1.5258,0.518,1.77674,1.9946,0.1963,0.3824,38.1978,0.9149,0.76577,1.527,0.1299,0.4221,17.6458,0.282,,0.5272,0.27,0.233,0.412,0.1466,0.11,0.921,2.12157,3.27923,0.1237,9.4826,3.18681,0.14679,0.2536,7.71481,0.11177,0.34143,0.1281,0.1258,1.39351,0.7218,0.1864,0.5963,0.21191,0.19259,0.593,0.4678,0.4225,0.185,0.52276,,0.12775,1.45986,0.4837,0.2777,0.1785,0.2769,,0.11476,0.88171,0.1557,4.1563,11.79555,0.53383,0.2311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,0.19,,0.2814,0.181,0.1345,,0.988,,0.17961,1.1689,19.398,0.933,,,,0.557,,0.734,0.123,4.65862,0.7483,0.3773,,,0.3123,0.7948,11.3446,0.172,11.3446,,,0.1614,0.339,0.17,0.3629,,0.2274,,,0.3926,33.35914,0.4493,0.3349,0.1162,,0.468,0.3986,7.25574,0.8749,6.31416,0.1683,3.8122,,0.538,,,24.41,0.2637,0.97546,,0.873,2.8598,0.3784,0.24749,0.355,,0.36,1.42429,6.49185,0.1424,7.99421,19.21471,0.4685,0.897,1.49238,2.15,0.215,0.987,0.4932,0.42165,0.448,0.99333,0.11,0.497,0.14116,0.1825,0.217,,0.3795,0.338,,36.28196,0.656,0.4565,0.55222,0.632,,8.45919,0.1131,2.266,1.13285,1.95544,0.1722,0.3123,,0.997,0.8185,,,0.19,0.3455,9.4261,0.293,0.34,0.56,0.14,,0.332,,0.1892,,0.315,,2.215,,,,0.193,,,0.168,0.85,,0.833,,0.1387,0.1137,0.874,,,,0.197,,,0.2691,0.1223,,0.5443,,5.92431,0.334,,0.1463,8.15796,0.81762,0.198,0.32,0.2417,0.1825,,,,,0.12529,0.274,,0.1666,0.88,,0.235,,0.17278,0.463,,0.73,0.524,,0.163,,0.418,0.17761,0.736,,,0.1662,,,,,,,0.874,0.54,0.41,0.4946,0.26,0.1642,0.899,,0.958,0.28,0.8171,0.143,1.31432,0.85,0.4813,0.55174,0.46,,0.18532,3.7947,0.41,0.1292,,0.8145,,0.56,,0.14995,,0.5243,0.139,0.795,0.1884,0.2842,0.8433,0.212,,0.1262,,0.2322,0.749
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,0.31,0.162,0.1183,0.34,0.66,0.195,,0.37,0.1225,0.43168,0.496,0.9,0.17,,0.2153,2.772,0.323,0.124,0.94,0.6274,0.3227,0.133,0.1316,0.224,0.1169,0.9218,,0.981,,0.1261,1.492,0.399,0.816,0.3244,0.221,0.1638,0.217,0.1311,0.625,0.563,0.53,0.82,0.694,,0.1614,0.1875,0.123,0.136,0.2336,0.1136,0.4451,2.2674,0.437,0.56,,0.994,,0.878,0.87525,,0.2519,0.513,0.1336,0.1374,,,0.4949,0.396,0.2333,0.2351,0.77,0.2299,0.136,,0.6,0.16932,0.77,0.2633,,0.481,0.582,0.124,0.85,,,0.97,0.13522,0.1554,0.669,0.3988,0.11728,0.64582,3.37232,,0.13136,0.3515,,0.187,0.429,0.1934,0.13753,0.224,0.38,,,0.96,0.728,,0.272,,0.344,0.64,0.4269,,0.484,0.67,,0.5123,,0.451,0.146,0.53,0.496,,,0.136,0.997,0.533,0.999,0.53,0.64,0.2254,0.42,0.357,0.58,0.314,0.267,0.12336,0.88,0.566,0.169,0.3358,,,0.61,0.113,,0.4287,0.199,0.479,0.598,0.1191,0.2734,0.36,0.273,0.84,0.861,0.8388,0.1122,0.322,,0.863,,0.112,0.742,,0.265,0.194,0.268,0.428,0.357,0.77,0.253,0.611,0.68,0.348,,0.639,0.348,0.463,0.125,0.2848,0.3922,0.856,0.149,0.35,0.199,0.41,,0.998,0.26,0.79,0.3933,0.668,,0.88,0.982,0.184,0.538,0.1994,0.19,0.138,0.476,0.698,0.1516,0.1116,0.26,0.676,0.3385,0.783,0.174,0.22565,,,0.186,0.143,0.392,,0.48,0.66,0.19313,0.373,0.1148,0.1671,0.1877,0.1213,3.8263,0.1583,0.1577,,0.138,0.12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,21.5277,0.3182,2.41865,0.31,0.2274,,0.91765,0.114,0.5856,0.492,9.3881,0.169,0.933,0.73758,0.11,0.42789,,0.13,0.5581,0.75666,0.1233,6.7517,,0.25,0.949,1.6675,,0.4897,0.29513,0.75,0.498,1.42137,0.893,6.82334,0.2398,0.1616,,0.14224,0.5276,,0.5722,0.3541,0.127,0.236,0.75789,0.2386,0.229,3.92656,1.3278,2.84775,1.38841,5.7829,0.53876,0.16721,0.6917,,0.549,0.85294,0.53117,,0.3166,0.67,0.4569,1.58716,,0.71,0.416,5.57396,8.27676,3.59933,0.14,0.2877,0.273,0.395,0.83378,0.6,2.52344,0.118,0.1618,0.246,,0.3966,0.45336,0.4531,0.16363,2.62934,0.6766,0.637,0.4553,,0.48474,0.151,0.1743,,0.22152,0.1833,0.16548,0.4138,0.43668,0.43879,0.15383,0.366,0.511,0.1598,,8.93134,0.43744,,1.338,,0.857,1.78931,1.65531,0.5323,3.8222,0.14,0.2469,2.7524,,0.812,1.6574,0.15977,,0.65,0.2687,0.191,0.21,0.141,0.64884,,0.1327,0.283,0.72139,3.9814,,0.78958,6.2931,0.198,0.1173,0.475,,0.87,0.86,0.29,7.5388,0.6693,,0.59126,0.68386,0.25,,2.2654,,0.17444,1.4882,0.786,0.424,0.2852,0.837,,,,,0.2666,0.121,,0.1976,11.78782,0.522,0.5569,0.171,0.33312,0.286,0.725,0.57,,,0.7411,0.92,0.737,0.52,0.212,6.2896,0.4753,0.52,,0.17688,0.51,,,,,0.5199,0.1841,0.24426,,0.2523,0.94,0.122,0.366,0.14,0.3526,,0.7572,0.232,0.118,0.19864,0.1792,0.1255,,5.1689,0.589,0.2611,,,,0.1395,,0.442,0.155,0.55112,,0.176,0.392,0.32328,0.4422,,0.84621,0.5897,,0.41,0.19353
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.182,1.84715,0.647,0.526,2.69459,0.87124,3.8659,0.63828,1.7456,4.67166,0.79321,0.26359,0.23299,2.9714,0.221,0.3583,11.63723,0.35,0.142,0.6275,0.21183,2.41311,0.13847,2.13897,1.62676,0.319,0.2953,0.8878,0.952,0.11861,0.8928,0.7645,0.35391,,,0.181,0.36,0.3449,3.9548,0.25296,1.32355,0.962,1.199,0.518,0.152,0.4821,1.35951,0.1882,0.45915,1.1169,7.1728,0.28893,7.89597,1.39515,0.45135,0.528,0.88656,0.172,0.2196,0.6131,3.31639,1.1478,0.5598,8.995,0.5392,0.7895,9.278,0.58146,0.2626,0.7532,4.35479,3.1127,5.6462,0.8512,13.2276,0.7226,0.1272,0.16514,0.55,1.13893,1.6875,1.2835,0.129,0.33826,0.9915,0.4913,0.935,0.7866,0.911,0.39762,1.54527,1.15221,1.6399,,0.11522,0.85194,0.76785,0.1527,0.2223,0.7865,0.3758,3.27726,0.1538,0.216,0.2852,0.538,0.6148,0.2269,0.13631,0.1264,0.916,0.1984,0.192,,0.2583,0.3537,0.8711,0.12332,0.651,0.1445,0.244,0.294,0.4654,0.2916,2.59516,0.3111,0.1177,0.293,0.93475,0.25831,2.35822,4.11266,0.6353,1.21989,1.24144,0.63888,0.31454,3.39571,22.84533,8.99341,6.19327,0.7998,6.14756,17.57523,0.14639,0.36318,0.1725,0.67355,2.2245,0.3552,0.4134,0.33436,1.69739,0.1275,0.983,3.464,2.21472,1.38572,0.37313,0.19,0.857,,0.7164,0.761,0.43577,0.943,0.52877,0.83388,71.618,5.8835,0.67991,0.7868,0.17423,0.5641,12.1168,0.1141,1.39635,0.1397,0.1145,0.29219,6.7783,1.26599,11.15958,0.14756,2.271,0.2723,0.9645,0.6472,3.6397,12.6713,0.38615,3.636,0.3693,0.18472,2.6581,1.1331,12.86471,5.89232,7.87753,3.51549,0.1366,9.41226,22.3478,5.33468,0.185,0.75,0.317,0.11238,5.9787,0.182,0.829,1.5716,1.86178,22.7571,,2.3814,0.8544,0.854,0.7894,0.264,0.8348,0.3321,3.28286,7.69391,0.12345,,0.4272,0.7562,1.59579,3.849,2.15193,2.84895
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,0.5534,0.84953,0.279,,0.27438,0.93,,0.6329,0.26385,,,,,,,0.6636,,0.2282,0.82816,0.246,0.72753,0.36378,0.77,0.75251,0.21311,0.423,2.176,0.9516,0.31373,3.4244,2.3675,0.263,0.3598,4.2183,0.76494,0.535,0.1696,0.229,,0.151,6.48256,0.1161,0.358,0.9776,0.89,0.8526,0.2499,0.711,4.69792,0.12562,0.73,0.8335,,0.2892,0.12466,0.2378,0.5516,0.63299,0.35615,1.21714,0.7524,7.4288,0.213,0.671,0.656,0.526,,0.51185,0.63752,1.55658,,0.282,,0.1635,0.8359,0.764,0.173,0.1526,0.263,,0.354,0.9792,,2.13164,,0.1117,0.9551,,,0.63437,,0.18212,,,0.737,,0.6932,0.76334,,0.1582,0.788,0.12754,0.7922,0.39,,1.88561,0.53,0.23993,0.34218,,0.1321,0.8849,0.461,,0.4515,0.328,0.634,0.5853,0.29,0.3121,0.374,,,,0.11745,,5.62675,,0.267,,0.63,0.7412,,,0.33,,,,0.67522,,,0.1982,0.1873,1.7544,2.23659,,0.464,0.461,0.21668,0.154,,,0.1267,0.4698,3.15232,0.5347,0.667,1.66848,0.47,1.55769,,,,0.248,0.24622,,0.131,0.5249,,1.35564,0.456,0.5547,,0.9371,0.1818,0.117,,,,0.891,1.81978,0.3758,0.9,0.2491,0.187,,,0.116,,,0.319,0.58369,,0.64,0.2359,,0.354,0.22,,0.125,0.131,0.2462,0.739,0.31,,0.91,0.217,,0.4373,,0.37685,,,0.653,,,0.184,,0.113,,,0.191,0.2945,,0.37,0.4542,,,,,1.3144,0.92
